day,year,deltaT_pile_C,mean_pore_pressure_kPa,max_abs_pore_pressure_kPa,axial_thermal_force_kN,thermal_head_displacement_mm,settlement_mechanical_only_mm,settlement_thermo_mechanical_mm,settlement_THM_mm,consolidation_potential_mm,cyclic_settlement_index_mm,allowable_settlement_mm,TM_serviceability_ratio,THM_serviceability_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538461538461538,11.538461538461538,11.538461538461538,0.0,0.0,25.0,0.4615384615384615,0.4615384615384615
2.0,0.0054757015742642025,0.3095825455224721,1.8601609796527037,3.0688314730750355,14.80040281997033,0.042286865199915216,11.538461538461538,11.580748403661454,11.580749237429664,0.0,8.337682102202918e-07,25.0,0.4632299361464582,0.4632299694971866
4.0,0.010951403148528405,0.6187986763302546,3.706289118088907,6.131379278061113,29.583288226717578,0.0845236806477645,11.538461538461538,11.622985219109303,11.627278394056601,0.004286296683391323,6.8782639071907505e-06,25.0,0.4649194087643721,0.465091135762264
6.0,0.01642710472279261,0.9272824113886091,5.536456698667223,9.18402094533612,44.331159540222345,0.12666045582920668,11.538461538461538,11.665121994290745,11.677929911125824,0.012784339056649302,2.3577778430410742e-05,25.0,0.4666048797716298,0.46711719644503297
8.0,0.02190280629705681,1.234668636509405,7.348747522614157,12.223145727973286,59.0265615223332,0.1686473186352377,11.538461538461538,11.707108857096776,11.73258171357244,0.025416471297269684,5.6385178394060486e-05,25.0,0.46828435428387105,0.4693032685428976
10.0,0.02737850787132101,1.5405935364917986,9.141259397920937,15.245158875339127,73.65210103638147,0.21043457438966132,11.538461538461538,11.748896112851199,11.79110874207318,0.0421019688780354,0.00011066034394350112,25.0,0.4699558445140479,0.4716443496829272
12.0,0.03285420944558522,1.844695025725458,10.912106604991786,18.24648588775857,88.19046763329389,0.2519727646665539,11.538461538461538,11.790434303128093,11.8533829842851,0.06275708000487966,0.00019160115212624217,25.0,0.4716173721251237,0.47413531937140396
14.0,0.038329911019849415,2.1466131767466883,12.65942233632701,21.223576747211514,102.62445403983851,0.29321272582811,11.538461538461538,11.831674264289648,11.919273523055951,0.08729507226847603,0.0003041864978274153,25.0,0.4732669705715859,0.47677094092223804
16.0,0.04380561259411362,2.4459906462402214,14.381361107548903,24.17291011905342,116.93697652475373,0.334105647213582,11.538461538461538,11.87256718567512,11.98864659624468,0.11562628440505796,0.00045312616450156643,25.0,0.4749026874270048,0.4795458638497872
18.0,0.049281314168377825,2.7424730979824705,16.076101137106505,27.090997519787017,131.1110951186561,0.37460312891044595,11.538461538461538,11.913064667371984,12.061365666078466,0.1476581830574053,0.0006428156490758688,25.0,0.47652258669487935,0.48245462664313865
20.0,0.05475701574264202,3.0357096222256574,17.74184669202654,29.97438744595204,145.13003366379488,0.4146572390394138,11.538461538461538,11.953118777500952,12.137291497082058,0.1832954244224813,0.0008772951586263634,25.0,0.4781247511000381,0.48549165988328236
22.0,0.06023271731690623,3.3253531510264476,19.376830397112567,32.81966945924636,158.97719966992292,0.454220570485494,11.538461538461538,11.992682108947033,12.216282242072335,0.2224399206677769,0.0011602124575250713,25.0,0.47970728435788135,0.4886512896828934
24.0,0.06570841889117043,3.6110608690275083,20.97931550503205,35.623478223043264,172.63620395278306,0.4932462970079516,11.538461538461538,12.03170783546949,12.298193535920914,0.2649909109942024,0.0014947894572226834,25.0,0.4812683134187796,0.4919277414368366
26.0,0.07118412046543464,3.8924946192058094,22.547598124772488,38.38249748552746,186.09088003196595,0.5316882286627598,11.538461538461538,12.070149767124299,12.382878596888164,0.31084503721912343,0.0018837925447404227,25.0,0.482805990684972,0.49531514387552655
28.0,0.07665982203969883,4.169321303107425,24.08000940599145,41.093464004735445,199.32530326518116,0.5695008664719461,11.538461538461538,12.107962404933485,12.470188335378316,0.35989642374908903,0.0023295066957420775,25.0,0.4843184961973394,0.4988075334151326
30.0,0.08213552361396304,4.441213275095136,25.574917676833167,43.753171410854684,212.32380969629423,0.6066394562751263,11.538461538461538,12.145100994736664,12.559971469983282,0.4120367618078488,0.002833713438768869,25.0,0.48580403978946657,0.5023988587993312
