day,year,deltaT_pile_C,mean_pore_pressure_kPa,max_abs_pore_pressure_kPa,axial_thermal_force_kN,thermal_head_displacement_mm,settlement_mechanical_only_mm,settlement_thermo_mechanical_mm,settlement_THM_mm,consolidation_potential_mm,cyclic_settlement_index_mm,allowable_settlement_mm,TM_serviceability_ratio,THM_serviceability_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.230769230769231,4.230769230769231,4.230769230769231,0.0,0.0,10.0,0.4230769230769231,0.4230769230769231
2.0,0.0054757015742642025,0.2407864242952561,1.446791873063214,2.3868689235028056,18.692485150943856,0.023365606438679822,4.230769230769231,4.254134837207911,4.254135777988638,0.0,9.407807267005387e-07,10.0,0.4254134837207911,0.4254135777988638
4.0,0.010951403148528405,0.48128785936797586,2.8826693140691497,4.768850549603088,37.36284631036273,0.04670355788795342,4.230769230769231,4.277472788657184,4.280814336042094,0.003333786309304339,7.761075605575434e-06,10.0,0.42774727886571845,0.4280814336042094
6.0,0.01642710472279261,0.7212196533022515,4.306132987852283,7.143127401928092,55.98898567217445,0.06998623209021806,4.230769230769231,4.300755462859449,4.310725441621392,0.009943374821838456,2.6603940104511134e-05,10.0,0.4300755462859449,0.43107254416213914
8.0,0.02190280629705681,0.960297828396204,5.7156925175887885,9.506891121756999,74.54885777019003,0.09318607221273754,4.230769230769231,4.323955302981968,4.343787291652097,0.019768366564543255,6.362210558578183e-05,10.0,0.43239553029819683,0.4343787291652097
10.0,0.02737850787132101,1.198239417271399,7.109868420605173,11.857345791930431,93.02049557061562,0.11627561946326954,4.230769230769231,4.347044850232501,4.379915689408841,0.03274597579402809,0.00012486338231172442,10.0,0.4347044850232501,0.4379915689408841
12.0,0.03285420944558522,1.4347627977864672,8.487194026104719,14.19171124603444,111.3820364717239,0.1392275455896549,4.230769230769231,4.369996776358886,4.419024031369571,0.04881106222601882,0.00021619278466656933,10.0,0.4369996776358886,0.4419024031369571
14.0,0.038329911019849415,1.6695880263585354,9.846217372698785,16.507226358942283,129.611748179922,0.1620146852249025,4.230769230769231,4.3927839159941335,4.461023311553001,0.06789616731992684,0.000343228238940601,10.0,0.43927839159941334,0.4461023311553001
16.0,0.04380561259411362,1.9024371692979498,11.185503083649143,18.80115231481932,147.6880544315895,0.18461006803948693,4.230769230769231,4.415379298808718,4.505822137366055,0.0899315545372682,0.0005112840200685745,10.0,0.4415379298808718,0.45058221373660545
18.0,0.049281314168377825,2.1330346317641435,12.5036342177495,21.070775848723226,165.5895605302437,0.20698695066280462,4.230769230769231,4.437756181432036,4.553326754699529,0.11484525348909524,0.0007253197783977538,10.0,0.4437756181432036,0.4553326754699529
