day,year,deltaT_pile_C,mean_pore_pressure_kPa,max_abs_pore_pressure_kPa,axial_thermal_force_kN,thermal_head_displacement_mm,settlement_mechanical_only_mm,settlement_thermo_mechanical_mm,settlement_THM_mm,consolidation_potential_mm,cyclic_settlement_index_mm,allowable_settlement_mm,TM_serviceability_ratio,THM_serviceability_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,11.666666666666666,11.666666666666666,0.0,0.0,15.0,0.7777777777777778,0.7777777777777778
2.0,0.0054757015742642025,0.2751844849088641,1.6534764263579589,2.7278501982889205,17.50274109397468,0.03182316562540851,11.666666666666666,11.698489832292074,11.698490461028001,0.0,6.28735926698782e-07,15.0,0.7798993221528049,0.7798993640685334
4.0,0.010951403148528405,0.5500432678491153,3.294479216079028,5.4501149138321,34.98476634987325,0.06360866609067864,11.666666666666666,11.730275332757344,11.734090561080892,0.0038100414963479507,5.186827200600207e-06,15.0,0.7820183555171563,0.7822727040720595
6.0,0.01642710472279261,0.8242510323454303,4.921294843259753,8.163574173632107,52.42538444840468,0.09531888081528124,11.666666666666666,11.761985547481947,11.77336718417843,0.011363856939243648,1.777975723855688e-05,15.0,0.7841323698321297,0.7848911456118953
8.0,0.02190280629705681,1.0974832324528045,6.532220020101472,10.865018424865141,69.80395307882824,0.12691627832514227,11.666666666666666,11.793582944991808,11.816217883398698,0.02259241893090675,4.251947598277832e-05,15.0,0.7862388629994539,0.7877478588932465
10.0,0.02737850787132101,1.3694164768815988,8.125563909263054,13.551252333634778,87.09990337071333,0.15836346067402426,11.666666666666666,11.82503012734069,11.862537547489971,0.03742397233603187,8.344781324744949e-05,15.0,0.7883353418227127,0.7908358364993314
12.0,0.03285420944558522,1.6397289117559626,9.699650315548254,16.219098566896506,104.29276423877705,0.18962320770686739,11.666666666666666,11.856289874373534,11.91221842992298,0.05578407111544954,0.0001444844339973317,15.0,0.7904193249582356,0.7941478953281986
14.0,0.038329911019849415,1.9081006015526119,11.252819854512898,18.865401553076897,121.36218661198562,0.22065852111270112,11.666666666666666,11.887325187779368,11.965150191444598,0.07759561979420232,0.00022938387102843077,15.0,0.7924883458519578,0.7976766794296399
16.0,0.04380561259411362,2.1742139077690856,12.783432095599023,21.48703121693637,138.28796751824234,0.2514326682149861,11.666666666666666,11.918099334881653,12.021219952075825,0.10277891947116333,0.00034169772300875304,15.0,0.7945399556587769,0.8014146634717216
18.0,0.049281314168377825,2.437753864873307,14.289867677428001,24.08088668425512,155.05007399615664,0.28190922544755753,11.666666666666666,11.948575892114224,12.080312350975882,0.13125171827324922,0.00048474058840815114,15.0,0.7965717261409483,0.8053541567317255
20.0,0.05475701574264202,2.6984085530894735,15.770530392912486,26.643899951957366,171.62866680559193,0.3120521214647126,11.666666666666666,11.97871878813138,12.142309613430015,0.16292926615331685,0.0006615591453187758,15.0,0.798581252542092,0.809487307562001
22.0,0.06023271731690623,2.9558694675790647,17.223849241877836,29.173039519330096,188.00412390892996,0.3418256798344181,11.666666666666666,12.008492346501084,12.207091624562871,0.1977243739269122,0.0008749041348755225,15.0,0.8005661564334056,0.8138061083041914
24.0,0.06570841889117043,3.2098318835800073,18.648280448917376,31.66531397603845,204.15706369525876,0.3711946612641069,11.666666666666666,12.037861327930774,12.274536009537025,0.23554747643929191,0.0011272051669590027,15.0,0.8025240885287183,0.8183024006358016
26.0,0.07118412046543464,3.4599952170718304,20.042309444242207,34.117775542691064,220.0683679199977,0.40012430530908677,11.666666666666666,12.066790971975752,12.344518220071306,0.2763066997503341,0.0014205483452201793,15.0,0.8044527314650501,0.8229678813380871
28.0,0.07665982203969883,3.7060633805399337,21.404452805325732,36.52752355976483,235.71920433280786,0.42858037151419615,11.666666666666666,12.095247038180862,12.416911627148293,0.31990793222141306,0.0017566567460174994,15.0,0.8063498025453908,0.8277941084765529
30.0,0.08213552361396304,3.947745133417899,22.733260157185033,38.891707920759714,251.09104896700632,0.4565291799400116,11.666666666666666,12.123195846606677,12.491587619792908,0.3662548993847542,0.002136873801475833,15.0,0.8082130564404452,0.8327725079861938
32.0,0.08761122518822724,4.184754426793061,24.027316029185883,41.2075324455201,266.1657080641033,0.4839376510256424,11.666666666666666,12.15060431769231,12.568415709804585,0.4152492424723917,0.0025621496398832893,15.0,0.810040287846154,0.837894380653639
34.0,0.09308692676249145,4.416810741967367,25.285241666305655,43.47225818973032,280.9253396075124,0.5107733447409317,11.666666666666666,12.177440011407597,12.647263642318118,0.4667906004785263,0.0030330304319937107,15.0,0.8118293340938398,0.8431509094878745
36.0,0.09856262833675565,4.643639422472784,26.505696792838137,45.68320668666693,295.35247443994695,0.5370044989817218,11.666666666666666,12.203671165648387,12.727997512056684,0.5207766956259888,0.003549650782307579,15.0,0.8135780777098925,0.8485331674704456
38.0,0.10403832991101986,4.8649719991483344,27.68738132657695,47.83776311737138,309.4300369395095,0.5626000671627445,11.666666666666666,12.22926673382941,12.810481885125489,0.5771034221043306,0.0041117291917475785,15.0,0.8152844489219607,0.8540321256750326
40.0,0.10951403148528405,5.08054650789395,28.82903704156874,49.93337940549047,323.14136523000116,0.5875297549636385,11.666666666666666,12.254196421630304,12.89457992617795,0.6356649379442512,0.004718566603395221,15.0,0.816946428108687,0.8596386617451967
42.0,0.11498973305954825,5.290107799725109,29.929449177584967,51.967577233121915,336.470230901532,0.6117640561846035,11.666666666666666,12.278430722851269,12.980153530768309,0.6963537598902148,0.005369048026825387,15.0,0.8185620481900846,0.8653435687178873
44.0,0.12046543463381246,5.4934078427612425,30.987447994520295,53.9379509740953,349.4008582180894,0.6352742876692535,11.666666666666666,12.301940954335919,13.067063462685955,0.7590608611304671,0.006061647219568748,15.0,0.820129396955728,0.8711375641790636
46.0,0.12594113620807665,5.690206015790522,32.0019102699877,55.84217054121701,361.91794278933423,0.6580326232533351,11.666666666666666,12.324699289920002,13.155169496047868,0.823675771741148,0.006794434386720146,15.0,0.8216466193280001,0.8770112997365246
48.0,0.13141683778234087,5.88026939306353,32.97176073844385,57.6779841441087,374.006669684521,0.6800121266991291,11.666666666666666,12.346678793365795,13.244330561906567,0.8900866816987896,0.007565086841982234,15.0,0.8231119195577197,0.8829553707937712
50.0,0.13689253935660506,6.063373019978777,33.89597347024491,59.44322095437568,385.6527309671063,0.701186783576557,11.666666666666666,12.367853450243222,13.334404899112247,0.958180546313303,0.008370902555722804,15.0,0.8245235633495481,0.8889603266074831
52.0,0.14236824093086928,6.239300179333742,34.77357318910037,61.13579367495054,396.8423426292905,0.7215315320532555,11.666666666666666,12.388198198719921,13.425250209149501,1.0278431939314523,0.009208816498126545,15.0,0.8258798799146614,0.8950166806099668
54.0,0.14784394250513347,6.407842647826324,35.603636526462566,62.7537010105709,407.56226090644924,0.7410222925571804,11.666666666666666,12.407688959223847,13.516723814651154,1.0989594357588994,0.010075419668407552,15.0,0.8271792639482565,0.9011149209767436
56.0,0.15331964407939766,6.568800942503113,36.38529321146155,64.29503003646762,417.7997979521462,0.7596359962766295,11.666666666666666,12.426302662943296,13.608682821274865,1.171413177647101,0.01096698068446687,15.0,0.8284201775295531,0.9072455214183244
58.0,0.15879534565366188,6.721984556862775,37.117727195067744,65.75795846245958,427.5428368551729,0.7773506124639508,11.666666666666666,12.444017279130616,13.700984282611879,1.2450875336897997,0.011879469791463555,15.0,0.8296011519420411,0.9133989521741253
60.0,0.16427104722792607,6.867212186335133,37.800177707240714,67.14075678977554,436.7798459808443,0.7941451745106262,11.666666666666666,12.460811841177293,13.793485367782273,1.3198649414723407,0.012808585132639215,15.0,0.8307207894118195,0.9195656911854848
62.0,0.1697467488021903,7.004311942869042,38.43194024589841,68.44179035805021,445.49989261957353,0.809999804762861,11.666666666666666,12.476666471429526,13.886043531356819,1.3956272788157884,0.013749781111504038,15.0,0.8317777647619684,0.9257362354237879
64.0,0.17522245037645448,7.133121558375099,39.01236749661954,69.65952128007186,453.6926559265732,0.824895738048315,11.666666666666666,12.491562404714982,13.97851668523292,1.4722559818566818,0.014698298661257377,15.0,0.8327708269809988,0.9319011123488613
66.0,0.1806981519507187,7.253488576782388,39.540870182071394,70.79251026199134,461.34843913736785,0.8388153438861234,11.666666666666666,12.50548201055279,14.07076337208036,1.5496321643024036,0.015649197225167284,15.0,0.8336988007035193,0.938050891472024
68.0,0.1861738535249829,7.365270534481942,40.01691784023571,71.83941830683835,468.45818104465917,0.8517421473539258,11.666666666666666,12.518408814020592,14.162642939962453,1.627636737701208,0.01659738824065287,15.0,0.8345605876013729,0.9441761959974968
70.0,0.19164955509924708,7.4683351289433695,40.44003953058771,72.79900829932875,475.0134667229607,0.8636608485872013,11.666666666666666,12.530327515253868,14.254015717729422,1.7061505325654809,0.01753766991007281,15.0,0.8353551676835912,0.9502677145152948
72.0,0.1971252566735113,7.562560375305056,40.80982446746578,73.67014647008685,481.00653748830837,0.8745573408878334,11.666666666666666,12.541224007554499,14.344743190773652,1.7850544201863658,0.018464763032786137,15.0,0.8360816005036332,0.9563162127182435
74.0,0.2026009582477755,7.6478347507526125,41.12592257995366,74.45180373755011,486.4303000812586,0.8844187274204703,11.666666666666666,12.551085394087137,14.434688176730624,1.8642294349775157,0.01937334766597186,15.0,0.8367390262724758,0.962312545115375
76.0,0.2080766598220397,7.724057326514691,41.3880449976816,75.14305692596756,491.2783350623055,0.893233336476919,11.666666666666666,12.559900003143586,14.523715000705378,1.9435568971857737,0.02025810037601813,15.0,0.837326666876239,0.9682476667136919
78.0,0.2135523613963039,7.791137887319939,41.59596446203869,75.74308985805075,495.54490440978054,0.9009907352905102,11.666666666666666,12.567657401957176,14.611689669601878,2.0229185358066473,0.021113731838055032,15.0,0.8378438267971451,0.9741126446401253
80.0,0.2190280629705681,7.848997038173696,41.7495156623747,76.25119432098371,499.224958311242,0.9076817423840764,11.666666666666666,12.574348409050742,14.698480045131825,2.102196611542647,0.021935024538435963,15.0,0.8382898939367162,0.979898669675455
82.0,0.2245037645448323,7.897566298328068,41.84859549685651,76.66677090464864,502.3141411403155,0.9132984384369373,11.666666666666666,12.579965105103604,14.783956015080395,2.181274039643103,0.02271687033368894,15.0,0.8386643403402403,0.9855970676720264
84.0,0.2299794661190965,7.936788182334152,41.893163257731864,76.9893297110753,504.80879661191204,0.917834175658022,11.666666666666666,12.584500842324688,14.867989662408954,2.2600345124645935,0.02345430761967035,15.0,0.8389667228216459,0.9911993108272636
86.0,0.23545516769336072,7.966616268080476,41.88324074084013,77.21849093427434,506.7059721097229,0.9212835856540416,11.666666666666666,12.587950252320708,14.950455431779092,2.3383626215920255,0.02414255786635938,15.0,0.8391966834880472,0.9966970287852728
88.0,0.24093086926762491,7.987015251737136,41.81891227929837,77.3539853097683,508.0034221808669,0.9236425857833944,11.666666666666666,12.59030925245006,15.031230293088253,2.4161439793612693,0.024777061276923355,15.0,0.8393539501633374,1.0020820195392168
90.0,0.2464065708418891,7.997960989540587,41.70032470137854,77.39565443328837,508.699611193557,0.9249083839882856,11.666666666666666,12.591575050654951,15.110193901614775,2.4932653396254785,0.025353511334344152,15.0,0.8394383367103301,1.0073462601076517
92.0,0.2518822724161533,7.9994405263696455,41.527687212679645,77.34345094825932,508.79371515463816,0.9250794820993421,11.666666666666666,12.591746148766008,15.18722875437951,2.5696147176085056,0.025867888004996335,15.0,0.8394497432510672,1.0124819169586339
94.0,0.25735797399041754,7.991452111078861,41.30127120278701,77.19743860185119,508.2856226848463,0.9241556776088116,11.666666666666666,12.590822344275477,15.262220342341868,2.645081508690316,0.026316489376075256,15.0,0.8393881562850318,1.0174813561561245
96.0,0.26283367556468173,7.9740051985711435,41.021409976698386,76.95779216953112,507.1759351506347,0.9221380639102449,11.666666666666666,12.58880473057691,15.33505729806058,2.7195566059710266,0.026695961512641208,15.0,0.8392536487051274,1.0223371532040386
98.0,0.2683093771389459,7.947120438607149,40.68849841138404,76.62479724820457,505.4659659524101,0.9190290290043821,11.666666666666666,12.585695695671049,15.40563153846319,2.792932516461917,0.027003326330224415,15.0,0.8390463797114033,1.0270421025642127
100.0,0.2737850787132101,7.910829651364708,40.30299253793506,76.1988499181909,503.15773897002293,0.914832252672769,11.666666666666666,12.581498919339435,15.473838402383667,2.865103475753868,0.027236007290363285,15.0,0.8387665946226289,1.0315892268255777
102.0,0.2792607802874743,7.865175789777199,39.86540904984134,75.68045627443341,500.25398616734964,0.9095527021224539,11.666666666666666,12.57621936878912,15.539576782543962,2.935965561015784,0.02739185273905782,15.0,0.8384146245859413,1.035971785502931
104.0,0.28473648186173856,7.810212888695457,39.37632473802565,75.07023182749855,496.7581443588041,0.9031966261069165,11.666666666666666,12.569863292773583,15.602749251673366,3.0054168021779466,0.027469156721836346,15.0,0.8379908861849056,1.040183283444891
106.0,0.29021218343600275,7.746006000933375,38.83637585334664,74.36890077507336,492.67435114160367,0.8957715475301885,11.666666666666666,12.562438214196854,15.663262182478372,3.0733572911576434,0.027466677123874277,15.0,0.837495880946457,1.0442174788318914
108.0,0.29568788501026694,7.6726311202729045,38.24625739736722,73.57729514482335,488.0074399986051,0.8872862545429183,11.666666666666666,12.553952921209584,15.721025861196047,3.1396892889871824,0.02738365099928031,15.0,0.8369301947473056,1.0480683907464032
110.0,0.30116358658453113,7.590175091519578,37.6067223422692,72.69635380962532,482.7629345775063,0.8777507901409207,11.666666666666666,12.544417456807587,15.77595459448489,3.20431733070712,0.02721980697018329,15.0,0.8362944971205057,1.0517303062989927
112.0,0.3066392881587953,7.4987355077150175,36.918580780877,71.7271213763407,476.94704215318575,0.8671764402785196,11.666666666666666,12.533843106945186,15.827966809429181,3.267148327890483,0.026975374593511202,15.0,0.8355895404630124,1.0551977872952787
114.0,0.31211498973305957,7.398420594628071,36.18269900783519,70.67074694944455,470.5666462809153,0.855575720510755,11.666666666666666,12.522242387177421,15.876985146455667,3.328091668667,0.026651090611246434,15.0,0.8348161591451614,1.0584656764303777
