scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_TM_serviceability_ratio,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent
Building core foundation,building column group / basement foundation,3000.0,350000.0,25.0,9.0,screening limit below common building total-settlement tolerances; final design remains project-specific,0.3170340865220762,11.538461538461538,430.26827680650877,91.21486980531583,12.76779947219442,16.76957714197395,11.570382493317544,0.5107119788877769,0.6707830856789581,25.84763408514862
Bridge abutment retrofit,bridge abutment or approach foundation,4200.0,550000.0,15.0,8.0,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4217848866743389,11.666666666666666,508.8290056358108,81.07988427139186,12.59181031327723,16.188647487670888,11.690689232811614,0.8394540208851488,1.079243165844726,23.771665675137083
Equipment-supported mat,vibration-sensitive civil/industrial slab,2200.0,800000.0,10.0,7.0,strict screening limit for equipment alignment and serviceability-sensitive mat foundations,0.5148063993419216,4.230769230769231,543.4165186555367,70.94489873746788,4.910039879088652,8.10297389077973,4.248524080010464,0.4910039879088652,0.810297389077973,41.70760474743858
