parameter,standardized_beta,absolute_importance,model_R2
service load,0.4861766196612809,0.4861766196612809,0.9171551128971583
vertical stiffness,-0.4368870499269405,0.4368870499269405,0.9171551128971583
consolidation coefficient,0.39128242011982206,0.39128242011982206,0.9171551128971583
serviceability limit,-0.38328659770764384,0.38328659770764384,0.9171551128971583
soil compressibility,0.24774769937976152,0.24774769937976152,0.9171551128971583
thermal pressurization,0.24534261413850025,0.24534261413850025,0.9171551128971583
thermal amplitude,0.22891481768493263,0.22891481768493263,0.9171551128971583
head stiffness,-0.020660806635784106,0.020660806635784106,0.9171551128971583
