case_id,decision_class,thermal_drainage_ratio,thermal_pore_pressure_ratio,head_restraint_ratio,service_margin_index,max_TM_serviceability_ratio,max_THM_serviceability_ratio,tm_thm_decision_gap
1,False Safe,4.49691082528649,1.5858780125805694,0.47141683245189886,-0.007653157702616431,0.7790586493294666,1.0076531577026164,0.22859450837314987
2,False Safe,2.6166223099240846,1.5991748808961905,0.39610876312159343,-0.18181279970806963,0.7842483638725061,1.1818127997080696,0.39756443583556356
3,Safe-Safe,4.248344618204261,1.5869850189434789,0.28448250650412266,0.1396898009013563,0.6911694637974846,0.8603101990986437,0.16914073530115914
4,Unsafe-Unsafe,4.547490482089941,1.5856663007478158,0.5312190962027344,-0.2902108268778054,1.0770637483871548,1.2902108268778054,0.21314707849065062
5,Unsafe-Unsafe,1.9588901860168535,1.6087694476371104,0.5238740947900293,-1.1481731898006085,1.5310361462997775,2.1481731898006085,0.617137043500831
6,False Safe,1.522367489226897,1.6185088012282338,0.43059502935918675,-0.4445470652393819,0.44123882785675705,1.444547065239382,1.0033082373826248
7,False Safe,1.0013624450658476,1.6374244761969456,0.4624127466134201,-0.36081835800615947,0.7277231650358388,1.3608183580061595,0.6330951929703207
8,Safe-Safe,7.586790278032374,1.5778581767087436,0.5641813093900452,0.06316479003725273,0.8199858080636392,0.9368352099627473,0.11684940189910809
9,False Safe,2.448771809806304,1.601215965563182,0.3100856160721357,-0.2811819141394527,0.7291253200116922,1.2811819141394527,0.5520565941277605
10,Unsafe-Unsafe,4.65372693587068,1.585235359485537,0.5628794673979206,-0.2584363071051916,1.0243904114515754,1.2584363071051916,0.23404589565361622
11,Unsafe-Unsafe,3.187756595241853,1.5936357531136733,0.4803101070027788,-0.33941674093227814,1.0815172058709515,1.3394167409322781,0.2578995350613267
12,Safe-Safe,3.4540552088285033,1.5916077612215578,0.42909261234992213,0.06865254888597594,0.7213654186666969,0.9313474511140241,0.20998203244732716
13,Unsafe-Unsafe,2.701463480029354,1.5982253594537084,0.5025066351252419,-0.16601679934320956,1.0397124388869294,1.1660167993432096,0.12630436045628013
14,Unsafe-Unsafe,1.8526122249691375,1.6108189565991977,0.5389890648388569,-0.4100122944860316,1.1143680483470346,1.4100122944860316,0.295644246138997
15,Unsafe-Unsafe,2.526363488470388,1.6002440736792234,0.2855621888672202,-0.3935485805045549,1.0984031821382254,1.3935485805045549,0.29514539836632947
16,False Safe,1.5467261299209196,1.6178614708160703,0.5186774669622695,-0.2855177660428607,0.7089027472655601,1.2855177660428607,0.5766150187773006
17,False Safe,1.0520709596158428,1.635079636281051,0.5118497570183854,-0.3133915368791975,0.7693130449664063,1.3133915368791975,0.5440784919127912
18,Unsafe-Unsafe,2.6820421066633964,1.5984382016912952,0.48592943769863584,-0.24015101597333488,1.1639901647584716,1.2401510159733349,0.07616085121486327
19,False Safe,5.975492009581141,1.5810714818605938,0.5210008004173595,-0.004305243655322144,0.927632482990213,1.0043052436553221,0.0766727606651092
20,Safe-Safe,5.677644574169041,1.5818519920867424,0.46339682673927585,0.03131353189576369,0.780886324409634,0.9686864681042363,0.1878001436946023
21,Safe-Safe,7.962121855661207,1.5772875879821557,0.5126578544204066,0.05860426262809337,0.8400357449799848,0.9413957373719066,0.10135999239192184
22,Safe-Safe,6.750547228892729,1.5793450427087354,0.5427144027069966,0.2543918971338365,0.6795285606038379,0.7456081028661635,0.0660795422623256
23,False Safe,3.3415143572413877,1.5924299071303256,0.5513354447493422,-0.23818259511278472,0.8844063438631389,1.2381825951127847,0.35377625124964585
24,Safe-Safe,7.358550500114547,1.5782321714633503,0.5061129274030648,0.22487492345233817,0.6950002019285906,0.7751250765476618,0.08012487461907125
25,False Safe,4.339651376223685,1.5865649643627586,0.2514958551871334,-0.16581250019112237,0.8467370042796227,1.1658125001911224,0.31907549591149964
26,Safe-Safe,5.762014577455503,1.5816232487367716,0.4634160447466989,0.26997301221969294,0.6195745109727476,0.7300269877803071,0.11045247680755943
27,False Safe,1.6081067237844295,1.616292406145659,0.4029242137498851,-0.20711898880872015,0.836969834383303,1.2071189888087202,0.3701491544254172
28,False Safe,5.2374803558107,1.5831562158063806,0.3728392259552786,-0.029937187187697445,0.8513904742420944,1.0299371871876974,0.1785467129456031
29,Unsafe-Unsafe,0.9851645835685889,1.6381972948345414,0.33179900760769915,-0.6342829319136083,1.0678906057791906,1.6342829319136083,0.5663923261344177
30,Safe-Safe,3.4784479370712065,1.591435807675406,0.39871904985743106,0.011187531340949741,0.8966076064873807,0.9888124686590503,0.09220486217166957
31,Safe-Safe,4.499287626460085,1.5858679665850726,0.5490192123122057,0.28063340269032366,0.5627217505307617,0.7193665973096763,0.15664484677891466
32,False Safe,7.7194456116408485,1.577650477145429,0.28385529479981064,-0.0980089378797202,0.98346338152256,1.0980089378797202,0.11454555635716024
33,False Safe,2.2861305436501658,1.6034297684685537,0.2998843175813569,-0.5798412654331999,0.9440475464363951,1.5798412654332,0.6357937189968048
34,False Safe,1.0321872519882194,1.6359856466884521,0.5624825226006283,-0.19324190158830934,0.7729919192430413,1.1932419015883093,0.420249982345268
35,Unsafe-Unsafe,3.6420304439412345,1.5903359256892702,0.536835172949462,-0.604160287029736,1.0853814931333854,1.604160287029736,0.5187787938963506
36,Safe-Safe,7.890634868306597,1.5773922773788454,0.3274085877506722,0.028993708188613687,0.8905713591879575,0.9710062918113863,0.08043493262342882
37,Unsafe-Unsafe,3.1028239077538498,1.5943467383541619,0.26199929718895276,-0.4925748483031842,1.029361378650913,1.4925748483031842,0.46321346965227117
38,False Safe,1.5957283071577162,1.6166018796694626,0.4607948141960929,-0.0288395758859874,0.7933871214338027,1.0288395758859874,0.23545245445218466
39,Unsafe-Unsafe,6.597673965460831,1.5796552946867524,0.43805555976998656,-0.1788869951851242,1.0864801830799948,1.1788869951851242,0.09240681210512935
40,Unsafe-Unsafe,7.078190285931443,1.5787228393374022,0.47460216873639155,-0.4108699157282494,1.16057925430824,1.4108699157282494,0.25029066142000933
41,Unsafe-Unsafe,2.2811838886958054,1.6035011684832485,0.5168121513421746,-0.3137204714958577,1.0231110614587517,1.3137204714958577,0.29060941003710594
42,Safe-Safe,5.287688952392839,1.5829972658395004,0.5732699975396398,0.037491509038451,0.8407823718662746,0.962508490961549,0.12172611909527442
43,False Safe,2.8704221670189862,1.5964784236477083,0.4761153788778839,-0.3156248282038234,0.8994022755894441,1.3156248282038234,0.41622255261437935
44,False Safe,3.441661577031666,1.5916959589375264,0.43291925851318913,-0.01563972427774707,0.7049491623962938,1.015639724277747,0.3106905618814533
45,False Safe,2.1375399387398812,1.6056911886256116,0.3391330884012312,-0.5513979611321493,0.9396622409823248,1.5513979611321493,0.6117357201498246
46,Safe-Safe,5.02576465879526,1.5838587366041867,0.31592027499974473,0.19971919091914625,0.6613478659077443,0.8002808090808538,0.13893294317310945
47,Unsafe-Unsafe,1.0833897664050118,1.6336874608954384,0.5168974222772996,-1.6291478675882187,1.4987187717960972,2.6291478675882187,1.1304290957921215
48,False Safe,1.9665325481097329,1.6086287492653317,0.39298910694640415,-0.21525952368255918,0.7695352999759163,1.2152595236825592,0.4457242237066429
49,False Safe,2.8047716080036444,1.597135722169135,0.46767688448064676,-0.05055171807517089,0.954601599763377,1.050551718075171,0.0959501183117939
50,Safe-Safe,3.9767231666646428,1.5883404621047195,0.5201189310608715,0.09601620386947818,0.7648290268937281,0.9039837961305218,0.1391547692367937
51,Unsafe-Unsafe,3.053031595291981,1.5947796251333024,0.4745816084324913,-0.33794727195705887,1.0405888348823429,1.3379472719570589,0.297358437074716
52,False Safe,3.637004378885852,1.590368400416088,0.4808920291867006,-0.0332465838864302,0.8022347089314555,1.0332465838864302,0.23101187495497466
53,False Safe,1.9273528556343966,1.609359271583664,0.28379993580290847,-0.450390536215481,0.8159771537456231,1.450390536215481,0.6344133824698579
54,Safe-Safe,1.8612483148630248,1.610645679647795,0.30209099972817005,0.045094901554316946,0.7051247809839511,0.954905098445683,0.2497803174617319
55,False Safe,1.3979056265607286,1.622053968929713,0.5684935237820911,-0.3881430470849647,0.9076013597127945,1.3881430470849647,0.4805416873721702
56,False Safe,1.7183822289002881,1.6136803288916872,0.4838404236926519,-0.4928508636432507,0.9767290179586547,1.4928508636432507,0.516121845684596
57,False Safe,2.3334761177365637,1.6027590119865145,0.5370856653364546,-0.04527302377736997,0.8004798820489065,1.04527302377737,0.24479314172846345
58,False Safe,1.005770737967093,1.6372161476365503,0.4125331119347159,-0.45829477429460463,0.8997079432756919,1.4582947742946046,0.5585868310189127
59,Safe-Safe,5.812815377821278,1.5814885111538302,0.5120029671461379,0.1643420907771297,0.6931161746087278,0.8356579092228703,0.14254173461414255
60,Safe-Safe,7.315022732679241,1.5783060107731843,0.45864314883219476,0.06255829933711454,0.7379216621674419,0.9374417006628855,0.19952003849544353
61,Safe-Safe,1.7325812144090282,1.6133619385219378,0.5651330645083739,0.09813907285443679,0.7088782245430059,0.9018609271455632,0.19298270260255734
62,False Safe,1.065454053823187,1.6344795378165595,0.3620278681335759,-0.4154120949903368,0.854887300542943,1.4154120949903368,0.5605247944473938
63,Safe-Safe,2.3925016784855426,1.6019536150583484,0.2971165215196769,0.1747867228643477,0.6119580167753614,0.8252132771356523,0.21325526036029085
64,Safe-Safe,6.458709262860563,1.5799493209980493,0.4814316168762688,0.41490100001339425,0.5445720458412576,0.5850989999866058,0.040526954145348126
65,Safe-Safe,8.23277905462978,1.5769069496215178,0.3773834781083694,0.02055287216337387,0.8372239181733405,0.9794471278366261,0.1422232096632856
66,False Safe,3.7916614597115794,1.5894046056779334,0.3459417562561386,-0.10179085082722628,0.8070142290392089,1.1017908508272263,0.29477662178801733
